,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,elec_sites,MAA Value [kJ/mol],Est. Error [kJ/mol],Type
40,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,10,158.46406306293147,16.187680408100256,Aldehyde
41,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,7,142.171672168464,20.021918977138156,Double bond
42,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,8,133.77799359493864,31.10764424042586,Double bond
43,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,5,132.31815312401022,27.86856615580624,Double bond
44,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,6,130.2217773925391,30.301534961288787,Double bond
45,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,11,103.91731336078186,38.57258051940563,Double bond
46,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,9,95.08532384027488,41.92278812834708,Double bond
47,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,4,85.25805505246058,37.33356288123531,Double bond
48,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,27,78.70082242556556,10.769103144707923,Double bond
49,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,23,78.70082242556556,10.769103144707923,Double bond
50,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,25,77.94760488381411,11.750638534609237,Double bond
51,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,17,75.71612353034138,10.47487158749749,Double bond
52,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,19,74.55971866078384,8.148137133201555,Double bond
53,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,15,74.55971866078384,8.148137133201555,Double bond
54,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,14,70.39703156726966,8.010604088409368,Double bond
55,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,24,70.37913748273498,8.134199275380443,Double bond
56,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,26,70.37913748273498,8.134199275380443,Double bond
57,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,22,69.48221036069589,8.445495678380473,Double bond
58,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,16,68.99074351146233,7.692669033811495,Double bond
59,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,18,68.99074351146233,7.692669033811495,Double bond
60,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,2,67.08975053532919,18.695565262665987,Double bond
61,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,1,65.7829485014652,17.73203897690896,Double bond
62,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,4,99.62346902165692,22.156727431477698,Double bond
63,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,11,60.65752876391102,9.422273677166018,Double bond
64,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,13,60.65752876391102,9.422273677166018,Double bond
65,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,10,58.960353201114344,12.537697611853558,Double bond
66,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,14,58.960353201114344,12.537697611853558,Double bond
67,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,12,57.145193190633016,10.42081216707733,Double bond
68,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,9,56.273465683005824,14.491858050580312,Double bond
69,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,5,-88.52572305265383,19.924941333140865,Double bond
70,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,7,181.45968722957372,19.00443995254298,Aldehyde
71,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,3,90.3301984617962,24.714984566830935,Double bond
72,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,0,74.46323638662959,14.256037446007804,Double bond
73,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,2,74.40301873035027,11.970500466119866,Double bond
74,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,4,74.40301873035027,11.970500466119866,Double bond
75,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,1,69.9307019452221,11.042740489844372,Double bond
76,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,5,69.9307019452221,11.042740489844372,Double bond
77,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,8,64.81323635505926,36.58846453761434,Double bond
78,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,9,55.824035439481754,9.151712277775204,Double bond
79,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,7,55.824035439481754,9.151712277775204,Double bond
80,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,5,55.157498107738945,10.408942299523343,Double bond
81,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,6,50.903132023634775,18.616583872198476,Double bond
82,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,10,50.903132023634775,18.616583872198476,Double bond
83,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,8,42.417088834004645,12.492897957727136,Double bond
