,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,elec_sites,MAA Value [kJ/mol],Type,reactant_error,product_error
45,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,10,377.7654907205142,Double bond,None,None
46,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,2,361.82052459870465,Double bond,None,None
47,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,4,361.82052459870465,Double bond,None,None
48,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,12,361.82052459870465,Double bond,None,None
49,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,8,361.82052459870465,Double bond,None,None
50,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,3,338.4549266612157,Double bond,None,Connectivity
51,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,7,338.4549266612157,Double bond,None,Connectivity
52,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,5,177.5666753607802,Double bond,None,None
53,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,1,177.5666753607802,Double bond,None,None
54,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,9,177.5666753607802,Double bond,None,None
55,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,11,177.5666753607802,Double bond,None,None
56,CC1=CCC(CC1)[C+:20](C)C,4,{20: 7},4reac0,7,486.12322594900616,Carbocation,None,None
57,CC1=CCC(CC1)[C+:20](C)C,4,{20: 7},4reac0,1,386.4412517747842,Double bond,None,Connectivity
58,CC1=CCC(CC1)[C+:20](C)C,4,{20: 7},4reac0,2,131.22293089306913,Double bond,None,None
59,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,5,362.91700125066563,Carbocation,Connectivity,None
60,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,13,276.5470917222556,Double bond,Connectivity,None
61,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,11,265.0415614498779,Double bond,Connectivity,None
62,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,15,265.0415614498779,Double bond,Connectivity,None
63,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,10,219.8427543709986,Double bond,Connectivity,Connectivity
64,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,12,50.625419368967414,Double bond,Connectivity,None
65,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,14,50.625419368967414,Double bond,Connectivity,None
66,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,1,115.89721800852567,Ester,None,None
67,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,8,60.74565553129651,Double bond,None,None
68,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,10,60.74565553129651,Double bond,None,None
69,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,6,59.429392136633396,Double bond,None,None
70,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,9,57.73269097530283,Double bond,None,None
71,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,7,43.211604095762596,Double bond,None,None
72,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,11,43.211604095762596,Double bond,None,None
73,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,12,-23.459688120055944,Double bond,None,Connectivity
74,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,0,551.4737943068612,Carbocation,None,None
75,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,4,426.0703687343048,Double bond,None,None
76,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,2,410.5219616270624,Double bond,None,None
77,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,6,410.5219616270624,Double bond,None,None
78,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,1,399.42749087826815,Double bond,None,Connectivity
79,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,3,124.17328957805876,Double bond,None,None
80,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,5,124.17328957805876,Double bond,None,None
81,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,17,418.1337699284777,Carbocation,None,None
82,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,5,362.6834453009069,Amide,None,Connectivity
83,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,7,360.3789738812484,Double bond,None,None
84,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,22,342.1188323800452,Double bond,None,None
85,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,24,331.8453088775277,Double bond,None,None
86,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,20,326.9024704475887,Double bond,None,None
87,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,8,326.47682494530454,Double bond,None,Connectivity
88,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,15,298.4269546554424,Double bond,None,None
89,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,13,290.57843703823164,Double bond,None,None
90,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,9,282.1160926129669,Double bond,None,None
91,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,11,240.98751978948712,Double bond,None,None
92,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,6,225.75120529625565,Double bond,None,None
93,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,25,208.907381482888,Double bond,None,Connectivity
94,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,10,205.38613685546443,Double bond,None,None
