,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,nuc_sites,MCA Value [kJ/mol],Type,reactant_error,product_error
164,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,5,260.3754743975587,Double bond,None,None
165,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,0,248.18507018312812,Double bond,None,None
166,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,4,248.18507018312812,Double bond,None,None
167,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,8,196.95402649510652,Atom with lone pair,None,None
168,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,2,181.5614703935571,Double bond,None,Connectivity
169,CC(C)(C)[CH:20]=[O:21],41,"{20: 4, 21: 5}",41reac0,4,371.0997123339912,Double bond,None,Connectivity
170,CC(C)(C)[CH:20]=[O:21],41,"{20: 4, 21: 5}",41reac0,5,326.990058210562,Aldehyde,None,None
171,C1CC([NH:10]C1)C(=O)O,41,{10: 3},41reac1,3,486.3693238599226,Amine,None,None
172,C1CC([NH:10]C1)C(=O)O,41,{10: 3},41reac1,5,458.20256243040785,Double bond,None,Connectivity
173,C1CC([NH:10]C1)C(=O)O,41,{10: 3},41reac1,6,457.5737518328242,Carboxylic acid,None,Connectivity
174,C1CC([NH:10]C1)C(=O)O,41,{10: 3},41reac1,7,449.9005358493887,Atom with lone pair,None,Connectivity
175,CC(C)[NH:10]C(C)C,42,{10: 3},42reac0,3,501.6228715678444,Amine,None,None
176,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1,3,319.88056892808527,Atom with lone pair,None,None
177,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1,4,318.3025310453959,Double bond,None,Connectivity
178,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1,2,316.4775321529014,Double bond,None,Connectivity
179,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1,5,302.22415599320084,Double bond,None,Connectivity
180,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1,1,248.80066156352405,Atom with lone pair,None,None
181,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,12,374.9783966699615,Atom with lone pair,None,None
182,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,10,354.92171293706633,Double bond,None,None
183,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,9,352.94483114313334,Double bond,None,Connectivity
184,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,2,322.6969443780836,Double bond,None,Connectivity
185,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,6,316.7862337846309,Double bond,None,None
186,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,1,313.4685879247263,Double bond,None,None
187,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,8,307.7523152392823,Double bond,None,None
188,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,7,306.2053790304344,Double bond,None,None
189,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,5,304.38076581363566,Double bond,None,None
190,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,11,299.73666683747433,Double bond,None,Connectivity
191,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,4,278.42430933960713,Double bond,None,None
192,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,3,265.9062610126566,Double bond,None,None
193,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,6,551.8146372635383,Double bond,None,Connectivity
194,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,7,485.7089479090646,Imine,None,None
195,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,5,332.00180679606274,Double bond,None,None
196,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,11,331.6797701125033,Double bond,None,None
197,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,10,331.43789455108345,Double bond,None,None
198,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,4,331.32755025685765,Double bond,None,None
199,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,2,319.95681452727877,Double bond,None,None
200,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,3,312.07139362511225,Double bond,None,None
201,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,12,294.67237236117944,Ether,None,None
202,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7},43reac1,1,287.95009993831627,Ether,None,None
