,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,elec_sites,MAA Value [kJ/mol],Est. Error [kJ/mol],Type
43,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,6,286.810841207918,30.575088363140623,Carbocation
44,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,8,266.17867299470817,28.74850070169912,Double bond
45,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,12,266.17867299470817,28.74850070169912,Double bond
46,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,2,266.17867299470817,28.74850070169912,Double bond
47,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,4,266.17867299470817,28.74850070169912,Double bond
48,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,10,225.06564618867677,23.88648383208689,Double bond
49,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,0,225.06564618867677,23.88648383208689,Double bond
50,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,5,211.3987540506026,35.16677460624609,Double bond
51,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,1,211.3987540506026,35.16677460624609,Double bond
52,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,9,211.3987540506026,35.16677460624609,Double bond
53,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,11,211.3987540506026,35.16677460624609,Double bond
54,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,3,189.590663042426,31.1716764785814,Double bond
55,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,3,{20: 6},3reac1,7,189.590663042426,31.1716764785814,Double bond
56,CC1=CCC(CC1)[C+:20](C)C,4,{20: 7},4reac0,7,230.405295782433,32.090841354766866,Carbocation
57,CC1=CCC(CC1)[C+:20](C)C,4,{20: 7},4reac0,1,189.26742743185255,42.5801171449384,Double bond
58,CC1=CCC(CC1)[C+:20](C)C,4,{20: 7},4reac0,2,119.57586921559269,25.862032893487182,Double bond
59,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,11,223.21496389105482,27.434253181518017,Double bond
60,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,15,223.21496389105482,27.434253181518017,Double bond
61,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,13,222.0655340567485,25.82540314204196,Double bond
62,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,5,207.07688407467256,42.679935800439694,Carbocation
63,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,12,198.29375116871867,36.79611988316398,Double bond
64,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,14,198.29375116871867,36.79611988316398,Double bond
65,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,5,"{20: 5, 10: 9}",5reac0,10,151.14244945475068,41.583808576456946,Double bond
66,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,1,122.96298681111239,16.656174862375142,Ester
67,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,9,86.55557706806776,12.623366541340305,Double bond
68,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,6,73.14568403097078,23.144551380601907,Double bond
69,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,8,67.63304188726003,9.063294618364193,Double bond
70,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,10,67.63304188726003,9.063294618364193,Double bond
71,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,7,61.71472765329098,20.618340935856835,Double bond
72,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,11,61.71472765329098,20.618340935856835,Double bond
73,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,12,-93.59544982231415,24.065687793542192,Double bond
74,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,0,267.4599565871154,28.640625122791707,Carbocation
75,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,5,250.74107446703894,32.83312595482113,Double bond
76,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,3,250.74107446703894,32.83312595482113,Double bond
77,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,6,236.34196788075215,27.053633282617703,Double bond
78,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,2,236.34196788075215,27.053633282617703,Double bond
79,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,4,217.00141990620915,31.740439537156654,Double bond
80,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,1,169.92646766456016,36.98775778077221,Double bond
81,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,17,224.74242881178657,32.103718021702036,Carbocation
82,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,10,224.67934593498344,33.99099589716614,Double bond
83,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,13,220.4376177214308,27.808630455652995,Double bond
84,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,24,218.86731351589526,27.21025725274461,Double bond
85,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,16,218.71134518206023,25.95096309492279,Double bond
86,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,20,214.77836555249073,28.158291971797038,Double bond
87,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,22,192.12964665779083,29.786701601887543,Double bond
88,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,23,191.72662785945025,28.153416998027676,Double bond
89,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,15,191.5576651424762,26.999842888942215,Double bond
90,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,14,190.00525260381357,30.490617391953045,Double bond
91,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,7,189.48516694812147,34.1603236682693,Double bond
92,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,12,177.2014683010245,39.32451983659551,Double bond
