,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar
59_0,[CH2:10]=[C:11]=[N-:12],59,"{10: 0, 11: 1, 12: 2}",59reac0
59_1,C1C=CC=C1[CH:20]=[O:21],59,"{20: 5, 21: 6}",59reac1
60_0,CC/C=C\C[CH:20]=[O+:21]C,60,"{20: 5, 21: 6}",60reac0
60_1,CC(C)[Si](C(C)C)(C(C)C)[O:12][CH:11]=[C:10]1CCC1,60,"{12: 10, 11: 11, 10: 12}",60reac1
61_0,CCO/[C:11](=[CH:10]/[N+]#N)/[O-:12],61,"{11: 3, 10: 4, 12: 7}",61reac0
61_1,CC1=CC(=CC=C1)[C:20](=[OH+:21])C,61,"{20: 7, 21: 8}",61reac1
62_0,COC1=CC=C(C=C1)[CH:20]=[O:21],62,"{20: 8, 21: 9}",62reac0
62_1,[CH2:10]=[C:11](C1CC1)[O-:12],62,"{10: 0, 11: 1, 12: 5}",62reac1
63_0,CC1(C[C:11](=[CH:10]C(=O)C1)[O-:12])C,63,"{11: 3, 10: 4, 12: 8}",63reac0
63_1,[CH:21](=[CH:20]\Cl)\[N+:22](=[O:23])[O-],63,"{21: 0, 20: 1, 22: 3, 23: 4}",63reac1
64_0,CCCCN1C(=C)C(C2=C1C=CC(=C2)[CH:20]=[N+:21]3CCCCC3)(C)C,64,"{20: 14, 21: 15}",64reac0
64_1,CC(C)(C)O/[C:11](=[CH:10]/C#N)/[O-:12],64,"{11: 5, 10: 6, 12: 9}",64reac1
65_0,CCCCCC(CC)O/[C:11](=[CH:10]\C#N)/[O-:12],65,"{11: 9, 10: 10, 12: 13}",65reac0
65_1,C1=CC=C(C=C1)[C:20](=[O:21])C2=CC=CC=C2,65,"{20: 6, 21: 7}",65reac1
66_0,CCO/[C:11](=[CH:10]/C1=CC=CS1)/[O-:12],66,"{11: 3, 10: 4, 12: 10}",66reac0
66_1,CCO[C:20](=[O:21])OCC,66,"{20: 3, 21: 4}",66reac1
67_0,C[C:10]1=[C:11](N(C(=O)N(C1=O)C)C)[O-:12],67,"{10: 1, 11: 2, 12: 11}",67reac0
67_1,C[C:22](=[O:23])[CH:21]=[CH2:20],67,"{22: 1, 23: 2, 21: 3, 20: 4}",67reac1
68_0,CCOC(=O)CC[C:20](=[O:21])C(=O)OCC,68,"{20: 7, 21: 8}",68reac0
68_1,CCO/[C:11](=[C:10](\C)/P(=O)(OCC)OCC)/[O-:12],68,"{11: 3, 10: 4, 12: 14}",68reac1
69_0,CCO/[C:11](=[CH:10]/C1=C(C=CC=C1)C(=O)OC)/[O-:12],69,"{11: 3, 10: 4, 12: 15}",69reac0
69_1,C1=CC=C(C=C1)[CH:20]=[O:21],69,"{20: 6, 21: 7}",69reac1
70_0,CCO[C:20](=[O:21])CC1=CC=CC=C1,70,"{20: 3, 21: 4}",70reac0
70_1,CCO/[C:11](=[CH:10]/C1=CC=CC=C1)/[O-:12],70,"{11: 3, 10: 4, 12: 11}",70reac1
71_0,CCO[CH:20]=[O:21],71,"{20: 3, 21: 4}",71reac0
71_1,CCO/[C:11](=[CH:10]/C1=CC=C(C=C1)Cl)/[O-:12],71,"{11: 3, 10: 4, 12: 12}",71reac1
72_0,CC(C)[N+:21](=[CH2:20])C(C)C,72,"{21: 3, 20: 4}",72reac0
72_1,CO/[C:11](=[C:10](/C(=O)OC)\F)/[O-:12],72,"{11: 2, 10: 3, 12: 9}",72reac1
73_0,C1=CC=C(C=C1)[CH:20]=[O:21],73,"{20: 6, 21: 7}",73reac0
73_1,C1=CC=C(C=C1)/[C:11](=[CH:10]\Cl)/[O-:12],73,"{11: 6, 10: 7, 12: 9}",73reac1
74_0,COC1=CC=C(C=C1)COCC[C:10]2=[C:11](CCCC2C=C)[O-:12],74,"{10: 12, 11: 13, 12: 20}",74reac0
74_1,C#C[CH2:20][Br:21],74,"{20: 2, 21: 3}",74reac1
75_0,CC1(C[C:11](=[CH:10]C(=O)C1)[O-:12])C,75,"{11: 3, 10: 4, 12: 8}",75reac0
75_1,[CH2:20]=[N+:21]1CCC2C1(CCC2)C/C=C/C3=CC=CC=C3,75,"{20: 0, 21: 1}",75reac1
76_0,C[Si](C)(C)[C:20](=[O:21])C=C(Cl)Cl,76,"{20: 4, 21: 5}",76reac0
76_1,[CH2:10]=[C:11](C1CC1)[O-:12],76,"{10: 0, 11: 1, 12: 5}",76reac1
77_0,C[C:20](=[O:21])C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,77,"{20: 1, 21: 2}",77reac0
77_1,[CH2:10]=[C:11](C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)[O-:12],77,"{10: 0, 11: 1, 12: 21}",77reac1
78_0,CC1=CC2=C(C(=C1)C)[C:20](=[O:21])C2,78,"{20: 8, 21: 9}",78reac0
78_1,CC1=CC2=C(C(=C1)C)[C:11](=[CH:10]2)[O-:12],78,"{11: 8, 10: 9, 12: 10}",78reac1
79_0,CCOC(=O)[C:10]1=[C:11](C(CC1)C)[O-:12],79,"{10: 5, 11: 6, 12: 11}",79reac0
79_1,CO[C:22](=[O:23])[CH:21]=[CH2:20],79,"{22: 2, 23: 3, 21: 4, 20: 5}",79reac1
80_0,CC/[C:21](=[CH:20]/C(=O)C1=CC=CC=C1)/[N+:22](=[O:23])[O-],80,"{21: 2, 20: 3, 22: 12, 23: 13}",80reac0
80_1,CC(C)(C)[C:11](=[CH2:10])[O-:12],80,"{11: 4, 10: 5, 12: 6}",80reac1
81_0,CC1=C(C=CC(=C1)Br)[N-:10]CCCC2(CCOCC2)[C:20](=[O:21])OC,81,"{10: 8, 20: 18, 21: 19}",81reac0
82_0,CC1=CC=CC(=C1)/N=C\2/C(=O)[N-:10]C3=CC=C(C=C23)C,82,{10: 11},82reac0
82_1,C1=CC=C(C=C1)/[CH:20]=[CH:21]/[C:22](=[O:23])/C=C/C2=CC=CC=C2,82,"{20: 6, 21: 7, 22: 8, 23: 9}",82reac1
83_0,CCO[C:22](=[O:23])[CH:21]=[CH2:20],83,"{22: 3, 23: 4, 21: 5, 20: 6}",83reac0
83_1,C=CCCCC1CCC[N-:10]C1=O,83,{10: 9},83reac1
84_0,C1=CC=C(C=C1)C[N-:10]CC2=CC=CC=C2,84,{10: 7},84reac0
84_1,C1=CC2=C(C=C1)[C:20](=[O:21])OC3=C2C=CN=C3,84,"{20: 6, 21: 7}",84reac1
85_0,[CH2-:10]CCC1CCCC12OCCO2,85,{10: 0},85reac0
85_1,C1=CC=C(C=C1)[CH:20]=[O:21],85,"{20: 6, 21: 7}",85reac1
86_0,C/C(=C\[CH:20]=[O:21])/CC/C=C/C(=O)OC,86,"{20: 3, 21: 4}",86reac0
86_1,C[Si](C)(C)[CH2-:10],86,{10: 4},86reac1
87_0,CCC1(OCC(O1)[CH:20]=[O:21])CC,87,"{20: 7, 21: 8}",87reac0
87_1,C1=CO[C-:10]=C1,87,{10: 3},87reac1
88_0,C[C-:10]=C,88,{10: 1},88reac0
88_1,C/C(=C\CCCC#CC[Si](C)(C)C)/CC[CH:20]=[O:21],88,"{20: 15, 21: 16}",88reac1
89_0,COC1=CC(=C(C=C1)OC)C#CCC[CH:20]=[O:21],89,"{20: 14, 21: 15}",89reac0
89_1,C1CC=[C-:10]C1,89,{10: 3},89reac1
90_0,CC1(C2CCC(C2)([C:20]1=[O:21])C)C,90,"{20: 7, 21: 8}",90reac0
90_1,COC1=CC=CC=[C-:10]1,90,{10: 7},90reac1
91_0,CCC[CH2-:10],91,{10: 3},91reac0
91_1,CO[C:20](=[O:21])C1(CC1C2=CC=CC=C2)C(=O)N3CCCC3,91,"{20: 2, 21: 3}",91reac1
92_0,[CH3-:10],92,{10: 0},92reac0
92_1,COC1CCC(C2C1C[C:20](=[O:21])C=C2)O[Si](C)(C)C,92,"{20: 9, 21: 10}",92reac1
93_0,[CH3-:10],93,{10: 0},93reac0
93_1,CC(C)C1CCC2(C3C1C2[C:20](=[O:21])CC3)C,93,"{20: 10, 21: 11}",93reac1
94_0,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=[C-:10]C=C3,94,{10: 16},94reac0
94_1,C1=CC2=C3C(=C1)C=CC4=C3C(=CC(=C4)Br)[C:20]2=[O:21],94,"{20: 15, 21: 16}",94reac1
95_0,COC(=O)C1(CCCCC[C:20]1=[O:21])C2=CC=CC=[C-:10]2,95,"{20: 10, 21: 11, 10: 17}",95reac0
96_0,COC1=CC(=[C-:10]C=C1)OC,96,{10: 5},96reac0
96_1,CO[C:20](=[O:21])C1=CC=C(C=C1)Br,96,"{20: 2, 21: 3}",96reac1
97_0,CC(C)(C)/[N:21]=[CH:20]/C1=CC=CC=C1,97,"{21: 4, 20: 5}",97reac0
97_1,[CH2-:10]C1=CC=CC=C1,97,{10: 0},97reac1
98_0,COC1=CC=C(C=C1)COCC[CH:20]=[O:21],98,"{20: 12, 21: 13}",98reac0
98_1,[CH2-:10]CC=C,98,{10: 0},98reac1
99_0,CC[Si](CC)(CC)OCC#[C-:10],99,{10: 10},99reac0
99_1,CC(C)(C=C)C([CH:20]=[O:21])OCC1=CC=CC=C1,99,"{20: 6, 21: 7}",99reac1
