name,smiles,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
a3791f78d150ede6293f0cedb5c78feb,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCn2c(nnc2-c2ccncc2)C1,[H]c1nc([H])c([H])c(-c2nnc3n2C([H])([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c(C(F)(F)F)c2Cl)C3([H])[H])c1[H],0,True,True
eed80157ed300308eb597463a3ac3c36,Cc1cocc1CCCO,[H]OC([H])([H])C([H])([H])C([H])([H])c1c([H])oc([H])c1C([H])([H])[H],0,True,True
8254763d0ec4efcb39ae7b83e7e13dde,Cn1nccc1C(=O)N1C[C@@H]2CC[C@H](Oc3cccc(F)c3)[C@@H]2C1,[H]c1nn(C([H])([H])[H])c(C(=O)N2C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(Oc4c([H])c([H])c([H])c(F)c4[H])[C@]3([H])C2([H])[H])c1[H],0,True,True
13a250a7b8524a0b9518db54fc4f0b1d,c1cncc(-c2cc(Nc3cnc4ccccc4c3)nc(N3CCOCC3)n2)c1,[H]c1nc([H])c(-c2nc(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc(N([H])c3c([H])nc4c([H])c([H])c([H])c([H])c4c3[H])c2[H])c([H])c1[H],0,True,True
f433f253353b76f6eddb798965ba3b63,Cc1ccc(-c2nn(-c3ccc(Br)cc3)c(/N=C/N(C)C)c2C=O)cc1,[H]C(=O)c1c(-c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])nn(-c2c([H])c([H])c(Br)c([H])c2[H])c1/N=C(\[H])N(C([H])([H])[H])C([H])([H])[H],0,True,True
9559e8df9fe14effb3c606892051976f,N=C(N)c1ccc2cc(C(=O)Nc3ccc4c(c3)CCCN4)ccc2c1,[H]N=C(c1c([H])c([H])c2c([H])c(C(=O)N([H])c3c([H])c([H])c4c(c3[H])C([H])([H])C([H])([H])C([H])([H])N4[H])c([H])c([H])c2c1[H])N([H])[H],0,True,True
d473ae6a93659b37bd0eb0180d1ab925,CC(C)Nc1cc(-c2cc3cnccc3c(NCC(C)(C)N)n2)ccn1,[H]c1nc(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(-c2nc(N([H])C([H])([H])C(N([H])[H])(C([H])([H])[H])C([H])([H])[H])c3c([H])c([H])nc([H])c3c2[H])c1[H],0,True,True
e5bbf50ca9871648e950b884b3725787,COc1cccc(N2CCN(CC(=O)Nc3nnc(-c4ccccc4)s3)CC2)c1,[H]c1c([H])c([H])c(-c2nnc(N([H])C(=O)C([H])([H])N3C([H])([H])C([H])([H])N(c4c([H])c([H])c([H])c(OC([H])([H])[H])c4[H])C([H])([H])C3([H])[H])s2)c([H])c1[H],0,True,True
e436cf7acabd0f5ce36b17542615d006,Cc1cccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)c1,[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])Sc2nnc(-c3c([H])c([H])c4c(c3[H])OC([H])([H])C([H])([H])O4)o2)c1[H],0,True,True
e24e7d5f1d19646108748d271e5fd168,CC(=O)NC(C)c1nc2ccccc2n1CC(=O)NC(C)CCc1ccccc1,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])(N([H])C(=O)C([H])([H])n2c(C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H])nc3c([H])c([H])c([H])c([H])c32)C([H])([H])[H])c([H])c1[H],0,True,True
