name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,elec_sites,MAA_values,cm5,split
0086cdf41cd436b8a5c76f88eacf897f,True,-8995997.61881289,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,1,161.4808819964528,"[ 0.55623 -0.58431 -0.5012  -0.01759  0.       0.       0.       0.
  0.57913  0.20994  0.      -0.07074  0.17466  0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.      -0.57896  0.       0.      -0.10518 -0.09247  0.
  0.       0.       0.       0.       0.       0.      -0.46565  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00927dac31fc9c9fa11912cf54c30b78,True,-2279913.791320926,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,-1.1086841230280695,"[-0.10574 -0.0264  -0.11632  0.08858  0.       0.00771 -0.11559  0.
  0.16608  0.09745  0.       0.       0.       0.       0.       0.
  0.      -0.24616 -0.24646 -0.24808  0.19055  0.09529  0.       0.
  0.       0.      -0.64469  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00938742481fdc149e27acded9c98368,True,-4336440.113892445,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,22,61.33716266229749,"[-0.08473 -0.02595 -0.11434  0.10697  0.      -0.00226 -0.08145  0.
  0.25738  0.12014  0.       0.       0.       0.       0.       0.
  0.      -0.09361 -0.18519  0.11262 -0.11464  0.10035  0.       0.
  0.       0.      -0.29591  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
009901662c1a9ada86aea89d40e6ea46,True,-3143185.358956452,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,7,44.57594746584073,"[-0.09498 -0.01268 -0.08146  0.09281  0.       0.19356 -0.08773  0.
 -0.08671  0.09811  0.       0.       0.       0.       0.       0.
  0.      -0.43286 -0.03806 -0.00946 -0.08139  0.10273  0.       0.
  0.       0.       0.09765  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
009f59f21a61dbdc560887fd489db1cd,True,-4597206.707913276,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,154.60648409090936,"[ 0.26128 -0.49817  0.24384 -0.12233  0.       0.33934  0.       0.
 -0.50661 -0.09992  0.      -0.08381  0.1272   0.       0.       0.
  0.       0.13502  0.13476  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.      -0.06229  0.13469  0.
  0.       0.       0.       0.11235  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00a357fc4e4bd8d15834f60eee6974d0,True,-4608360.935422672,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,12,81.4249120047316,"[ 0.20923 -0.64931 -0.12911 -0.12832  0.       0.44823  0.44591  0.
  0.11188  0.12031  0.      -0.07191  0.10985  0.       0.       0.
  0.      -0.59951  0.12726  0.       0.       0.       0.       0.
  0.       0.      -0.14285 -0.1232   0.       0.       0.       0.
  0.       0.       0.       0.10207  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00b5bdd3bbfe9cf1f8a6da373b628f6a,True,-2986521.3379986626,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,-9.17768956022337,"[ 0.17195 -0.61418 -0.01503 -0.10469  0.       0.14551  0.46843  0.
 -0.12809 -0.13485  0.      -0.12263  0.10911  0.       0.       0.
  0.       0.55737  0.       0.       0.       0.       0.       0.
  0.       0.       0.24308  0.11432  0.       0.10488  0.       0.
  0.       0.       0.       0.11339  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00d142ef8ff65518342e60266b6bcccd,True,-2720658.4178915485,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,51.70897807879373,"[-0.12358  0.26591 -0.06877  0.12425  0.      -0.29027 -0.13747  0.
 -0.11125  0.11297  0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.19364  0.12698  0.       0.
  0.       0.       0.12489  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00d7a6e64105b2a03ca77b860042613b,True,-4260146.418788147,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,20,83.17756421212107,"[-0.01432  0.21249 -0.08324 -0.24069  0.      -0.54883  0.02691  0.
 -0.01438  0.09758  0.       0.1023   0.0983   0.09463  0.       0.
  0.       0.14798  0.       0.      -0.12818 -0.13394  0.       0.
  0.       0.      -0.24193  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00e5ef222712e93368b7ed4c91dae6f0,True,-5059113.609967419,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,25,57.63596973288804,"[ 0.15892 -0.47253  0.21529 -0.00409  0.       0.18089 -0.03709  0.
 -0.56649 -0.0238   0.      -0.10819 -0.03623  0.       0.       0.
  0.      -0.12023  0.       0.       0.11545  0.11004  0.1085   0.
  0.       0.       0.20957  0.       0.      -0.0739  -0.08426  0.
  0.       0.       0.       0.10237  0.       0.      -0.08249  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
