name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,nuc_sites,MCA_values,cm5,split
0086cdf41cd436b8a5c76f88eacf897f,True,-8995130.440869616,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,178.2992989514023,"[-0.13019  0.07086  0.       0.       0.       0.09421 -0.09188  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.      -0.12204 -0.13486  0.      -0.12595  0.11026  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00927dac31fc9c9fa11912cf54c30b78,True,-2279318.1100947857,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,19,287.20644996641204,"[-0.64469  0.40257  0.16608  0.46378  0.      -0.60983  0.10497  0.
 -0.11632  0.19055  0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.      -0.96178 -0.14779  0.09762  0.
  0.       0.      -0.10574  0.09745  0.      -0.11559  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00938742481fdc149e27acded9c98368,True,-4335723.874236296,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,229.09386674314737,"[-0.06538 -0.11003 -0.0984   0.1038   0.       0.09466  0.1018   0.
 -0.06077  0.1032   0.       0.       0.       0.       0.       0.
  0.      -0.09361 -0.06383  0.       0.       0.       0.       0.
  0.       0.       0.11456  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
009901662c1a9ada86aea89d40e6ea46,True,-3142353.8407051964,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,0,97.0540564400144,"[-0.29457  0.25893  0.       0.       0.      -0.11267 -0.11333  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.      -0.07606  0.12016  0.      -0.07719  0.12     0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
009f59f21a61dbdc560887fd489db1cd,True,-4596441.717351907,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,9,273.6122829522937,"[-0.12233  0.26128 -0.08381  0.1272   0.      -0.49817  0.24384  0.
 -0.06229  0.11235  0.       0.       0.       0.       0.       0.
  0.       0.33934  0.       0.      -0.50661 -0.09992  0.       0.
  0.       0.       0.41654  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00a357fc4e4bd8d15834f60eee6974d0,True,-4607567.751591073,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,17,172.2374406363815,"[-0.14285  0.11188  0.       0.       0.      -0.12911 -0.1232   0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.20923  0.12031  0.      -0.07191  0.10348  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00b5bdd3bbfe9cf1f8a6da373b628f6a,True,-2985971.3171418705,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,0,324.7978138769977,"[-0.64874  0.55737  0.       0.       0.      -0.53387  0.14551  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.04233  0.03021  0.      -0.61418 -0.13485  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00d142ef8ff65518342e60266b6bcccd,True,-2719821.4803729863,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,98.76781974593176,"[-0.29027  0.26591  0.       0.       0.      -0.13747 -0.12358  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.19364  0.12698  0.      -0.06877  0.12425  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00d7a6e64105b2a03ca77b860042613b,True,-4259561.598510508,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,10,382.353646802716,"[-0.54787  0.41369  0.03746  0.02854  0.      -0.59151 -0.12818  0.
  0.03203  0.12016  0.11922  0.03577  0.12077  0.11236  0.       0.
  0.       0.1673   0.       0.       0.02691  0.10796  0.       0.
  0.       0.      -0.49767  0.12175  0.11662  0.       0.       0.
  0.       0.       0.       0.13274  0.11607  0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
00e5ef222712e93368b7ed4c91dae6f0,True,-5058419.472842691,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,1,247.4952052347362,"[-0.52509  0.27061  0.03918  0.       0.      -0.12537 -0.14541  0.
  0.1089   0.09556  0.09482  0.       0.       0.       0.       0.
  0.      -0.0739   0.10625  0.      -0.08426  0.10458  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
