nuc_prod_name,nuc_prod_smis,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
cdaa1ded372d5705cef7148fd26c93e4_nuc_14,C[NH+](c1nc(NC2CCCCC2)nc2ncnn12)C1CCCCC1,[H]c1nc2nc(N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc([N+]([H])(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])n2n1,1,True,True
517b7cf68666a5c7e7897bb08377ff3f_nuc_18,Cc1cc2nc(-c3cccs3)n(-c3cc4nc(N)[n+](C)c(N)c4cc3Cl)c2cc1C,[H]c1sc(-c2nc3c([H])c(C([H])([H])[H])c(C([H])([H])[H])c([H])c3n2-c2c(Cl)c([H])c3c(N([H])[H])[n+](C([H])([H])[H])c(N([H])[H])nc3c2[H])c([H])c1[H],1,True,True
35f9e74b106aeed6a841d04609ed967b_nuc_19,C[o+]1c(=O)ccc2ccc(Oc3ccc(Cl)cc3O)cc21,[H]Oc1c([H])c(Cl)c([H])c([H])c1Oc1c([H])c([H])c2c([H])c([H])c(=O)[o+](C([H])([H])[H])c2c1[H],1,False,False
47f1585e0bc0421cc3cadb6b91cdbd22_nuc_1,COc1cc(Nc2nc(-c3ccncc3)cs2)cc([O+](C)C)c1OC,[H]c1nc([H])c([H])c(-c2nc(N([H])c3c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([O+](C([H])([H])[H])C([H])([H])[H])c3[H])sc2[H])c1[H],1,True,True
a3791f78d150ede6293f0cedb5c78feb_nuc_4,CC1C=C(C(=O)N2CCn3c(nnc3-c3ccncc3)C2)C(Cl)=C(C(F)(F)F)[CH+]1,[H]C1=C(C(=O)N2C([H])([H])c3nnc(-c4c([H])c([H])nc([H])c4[H])n3C([H])([H])C2([H])[H])C(Cl)=C(C(F)(F)F)[C+]([H])C1([H])C([H])([H])[H],1,True,True
eed80157ed300308eb597463a3ac3c36_nuc_1,CC1(C)[CH+]OC=C1CCCO,[H]OC([H])([H])C([H])([H])C([H])([H])C1=C([H])O[C+]([H])C1(C([H])([H])[H])C([H])([H])[H],1,True,True
8254763d0ec4efcb39ae7b83e7e13dde_nuc_17,CC1C=C(O[C@H]2CC[C@H]3CN(C(=O)c4ccnn4C)C[C@H]32)C=C(F)[CH+]1,[H]C1=C(F)[C+]([H])C([H])(C([H])([H])[H])C([H])=C1O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])N(C(=O)c3c([H])c([H])nn3C([H])([H])[H])C([H])([H])[C@]21[H],1,True,True
13a250a7b8524a0b9518db54fc4f0b1d_nuc_10,CC1N=c2ccccc2=C[C+]1Nc1cc(-c2cccnc2)nc(N2CCOCC2)n1,[H]C1=c2c([H])c([H])c([H])c([H])c2=NC([H])(C([H])([H])[H])[C+]1N([H])c1nc(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])nc(-c2c([H])nc([H])c([H])c2[H])c1[H],1,True,True
f433f253353b76f6eddb798965ba3b63_nuc_5,Cc1ccc(C2(C)[N+]N(c3ccc(Br)cc3)C(/N=C/N(C)C)=C2C=O)cc1,[H]C(=O)C1=C(/N=C(\[H])N(C([H])([H])[H])C([H])([H])[H])N(c2c([H])c([H])c(Br)c([H])c2[H])[N+]C1(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])C([H])([H])[H],1,True,True
9559e8df9fe14effb3c606892051976f_nuc_6,CC12C=C(C(=O)Nc3ccc4c(c3)CCCN4)C=CC1=CC(C(=N)N)=C[CH+]2,[H]N=C(C1=C([H])[C+]([H])C2(C([H])([H])[H])C([H])=C(C(=O)N([H])c3c([H])c([H])c4c(c3[H])C([H])([H])C([H])([H])C([H])([H])N4[H])C([H])=C([H])C2=C1[H])N([H])[H],1,True,True
