,reactant_smi,rxn_id,mapped_atoms
39_0,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}"
39_1,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7}
40_0,C1CC[NH:10]C1,40,{10: 3}
40_1,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}"
41_0,CC(C)(C)[CH:20]=[O:21],41,"{20: 4, 21: 5}"
41_1,C1CC([NH:10]C1)C(=O)O,41,{10: 3}
42_0,CC(C)[NH:10]C(C)C,42,{10: 3}
42_1,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}"
43_0,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}"
43_1,COC1=C(C=C2C=[N:10]CCC2=C1)OC,43,{10: 7}
44_0,C[C:20]1=[N+:21](C2=C(C1(C)C)C=CC=C2)CC[NH2:10],44,"{20: 1, 21: 2, 10: 14}"
45_0,COC(C[NH+:21]=[CH2:20])OC,45,"{21: 4, 20: 5}"
45_1,[C-:10]#[N+]CCC1=CC=CC=C1,45,{10: 0}
46_0,[B-](OC1=C(C=C(C=C1C(C)(C)C)[CH+:20]C2=CC=CC=C2)C(C)(C)C)(F)(F)F,46,{20: 12}
46_1,CC(C)(C)[N+]#[C-:10],46,{10: 5}
47_0,CC(C)(C)[N+]#[C-:10],47,{10: 5}
47_1,[C:22](#[N:23])[C:21](=[C:20](C(F)(F)F)C(F)(F)F)C#N,47,"{22: 0, 23: 1, 21: 2, 20: 3}"
48_0,CC1=CC=C(C=C1)S(=O)(=O)C(CC2=CC(=C(C=C2)OC)OC)[N+]#[C-:10],48,{10: 23}
48_1,COC1=C(C=C(C=C1)[CH:20]=[O+:21]C)OC,48,"{20: 8, 21: 9}"
49_0,COC1=CC(=C(C=C1)OC)[CH:20]=[NH2+:21],49,"{20: 10, 21: 11}"
49_1,[CH2:10]=[N+:11]([O-:12])[O-],49,"{10: 0, 11: 1, 12: 2}"
50_0,COC(CCC[CH:20]=[O:21])OC,50,"{20: 6, 21: 7}"
50_1,[CH2:10]=[N+:11]([O-:12])[O-],50,"{10: 0, 11: 1, 12: 2}"
51_0,C[C:22](=[O:23])/[CH:21]=[CH:20]/C1=CC=CC=C1,51,"{22: 1, 23: 2, 21: 3, 20: 4}"
51_1,C1CC[C:10](=[N+:11]([O-:12])[O-])C1,51,"{10: 3, 11: 4, 12: 5}"
