elec_prod_name,elec_prod_smis,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
41880353eebf0669bf28981e48558955_elec_4,COC1=CC(C)[C-]([C@H]2C(C(=O)O)=C[C@@H](C(C)(C)C)N2S(=O)(=O)c2ccccc2)C=C1,[H]OC(=O)C1=C([H])[C@@]([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(S(=O)(=O)c2c([H])c([H])c([H])c([H])c2[H])[C@@]1([H])[C-]1C([H])=C([H])C(OC([H])([H])[H])=C([H])C1([H])C([H])([H])[H],-1,True,True
1f5775ddc7f4e667e11ba7bb1e3e3be4_elec_14,CCN1CCN(S(=O)(=O)C2=CC=C(Cl)C(C)(C(=O)N(CC)Cc3ccccc3)[CH-]2)CC1,[H]C1=C(Cl)C(C(=O)N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])[H])(C([H])([H])[H])[C-]([H])C(S(=O)(=O)N2C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])=C1[H],-1,True,True
5fea1d9657240a35596cf754122354e6_elec_10,CC1=CC2=C(O)N=C(N)[N-]C2(C)N=C1C,[H]OC1=C2C([H])=C(C([H])([H])[H])C(C([H])([H])[H])=NC2(C([H])([H])[H])[N-]C(N([H])[H])=N1,-1,True,True
e8f69a78570b39631fd41bc487bc2a26_elec_6,CC12C(=O)CCC[C-]1N(c1ccc(Cl)cc1)[C@@]1(O)c3ccccc3C(=O)[C@@]21O,[H]O[C@@]12C(=O)c3c([H])c([H])c([H])c([H])c3[C@]1(O[H])N(c1c([H])c([H])c(Cl)c([H])c1[H])[C-]1C([H])([H])C([H])([H])C([H])([H])C(=O)C12C([H])([H])[H],-1,True,True
63be7b667ed11f26bb5a5fbeb63944f4_elec_10,CCCN(CCC)C1=C(C)N(C)[C-](c2c(C)cc(C)cc2OC)N(CC)C1=O,[H]c1c(OC([H])([H])[H])c([C-]2N(C([H])([H])[H])C(C([H])([H])[H])=C(N(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)N2C([H])([H])C([H])([H])[H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],-1,True,True
e82d0a4f537f65a9629ef4aab53bb5cb_elec_12,Cc1nc2ccccc2n1C[C-]1C=CC(C(=O)N2CC[C@@H](N3CCCC3)C2)=CC1C,[H]C1=C([H])[C-](C([H])([H])n2c(C([H])([H])[H])nc3c([H])c([H])c([H])c([H])c32)C([H])(C([H])([H])[H])C([H])=C1C(=O)N1C([H])([H])C([H])([H])[C@@]([H])(N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C1([H])[H],-1,True,True
ea326b1bb0f7aea9cdff95322969895c_elec_18,CCC(C)(C)NC(=O)CN(C(=O)CNS(=O)(=O)[C-]1C=CC=CC1C)c1ccccc1,[H]C1=C([H])[C-](S(=O)(=O)N([H])C([H])([H])C(=O)N(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])=C1[H],-1,True,True
5a63c97db2f157bda38258230258b488_elec_15,C=C(C)/C=C/C1=CC=C[C-]2NC=C(C=O)C12C,[H]C(=O)C1=C([H])N([H])[C-]2C([H])=C([H])C([H])=C(/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H])C12C([H])([H])[H],-1,True,True
0e42a4b3e265442137c360a89deeb2d6_elec_6,CCCOC1=CC(C)[C-](c2nnn(CC(=O)N3CCC(C)CC3)n2)C=C1,[H]C1=C([H])[C-](c2nnn(C([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C3([H])[H])n2)C([H])(C([H])([H])[H])C([H])=C1OC([H])([H])C([H])([H])C([H])([H])[H],-1,True,True
201b54e994873cbde3a8d4bc803a1fed_elec_11,CN1[CH-]C([N+](=O)[O-])=CC=C1NC(=O)c1ccc(Br)o1,[H]C1=C(N([H])C(=O)c2oc(Br)c([H])c2[H])N(C([H])([H])[H])[C-]([H])C([N+](=O)[O-])=C1[H],-1,True,True
267a8f80143a06dd7c8f25900a635af9_elec_10,CC12[CH-]C3=C(C=C1N=C1COC(O)=C1C2c1ccc(F)cc1)OCO3,[H]OC1=C2C(=NC3=C([H])C4=C(OC([H])([H])O4)[C-]([H])C3(C([H])([H])[H])C2([H])c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])O1,-1,True,True
52a8a77b307831a23827ab6c647c8b46_elec_2,COC1(C)C=C2C(=O)c3ccc(-c4nnc(C)o4)cc3S(=O)(=O)C2=C[CH-]1,[H]C1=C2C(=C([H])C(OC([H])([H])[H])(C([H])([H])[H])[C-]1[H])C(=O)c1c([H])c([H])c(-c3nnc(C([H])([H])[H])o3)c([H])c1S2(=O)=O,-1,True,True
f352bc7453761d5ebd51364fd32e7a6e_elec_15,CC1(c2cc(F)cc(/C=C/c3ccc(Br)cc3)c2)C=CN=C[CH-]1,[H]C1=NC([H])=C([H])C(c2c([H])c(F)c([H])c(/C([H])=C(\[H])c3c([H])c([H])c(Br)c([H])c3[H])c2[H])(C([H])([H])[H])[C-]1[H],-1,True,True
92a83cfd792485d59ff918fb91f976d9_elec_23,CC1[N-]C(N(C)C)=CC=C1CN1CCC(C(O)Cc2ccccc2)CC1,[H]OC([H])(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C2=C([H])C([H])=C(N(C([H])([H])[H])C([H])([H])[H])[N-]C2([H])C([H])([H])[H])C([H])([H])C1([H])[H],-1,True,True
4e170ab443d4d1746644e6270ef80b0d_elec_4,CC1=C[CH-]C(C)C(CN2CCC(CCC(=O)c3ccc4c(c3)NCCCC4)CC2)=C1,[H]C1=C(C([H])([H])N2C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])C(=O)c3c([H])c([H])c4c(c3[H])N([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C2([H])[H])C([H])(C([H])([H])[H])[C-]([H])C([H])=C1C([H])([H])[H],-1,True,True
