name,smiles,nuc_sites,nuc_prod_smis,nuc_names,MCA_values,MCA_calc_logs,nuc_prod_name,split
985e4dca125b81fe402ac2716e16d480,O=C(O)Cc1cccc2oc(-c3ccc(Cl)cc3)nc12,12,CC1C=C(Cl)C=C[C+]1c1nc2c(CC(=O)O)cccc2o1,double_bond,276.78330082818866,"[[None, '985e4dca125b81fe402ac2716e16d480/reac01/conf04/gfn1/985e4dca125b81fe402ac2716e16d480_reac01_conf04_gfn1_opt.sdf'], [None, '985e4dca125b81fe402ac2716e16d480/reac01prodN12/conf05/gfn1/985e4dca125b81fe402ac2716e16d480_reac01prodN12_conf05_gfn1_opt.sdf']]",985e4dca125b81fe402ac2716e16d480_nuc_12,train
98617fb6eb8ca385b3a5a932e46178e4,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(C)n(O)c2ccccc2c1=O,18,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC1=C(C)[N+](C)(O)c2ccccc2C1=O,Amine,308.17490434786305,"[[None, '98617fb6eb8ca385b3a5a932e46178e4/reac01/conf04/gfn1/98617fb6eb8ca385b3a5a932e46178e4_reac01_conf04_gfn1_opt.sdf'], [None, '98617fb6eb8ca385b3a5a932e46178e4/reac01prodN02/conf09/gfn1/98617fb6eb8ca385b3a5a932e46178e4_reac01prodN02_conf09_gfn1_opt.sdf']]",98617fb6eb8ca385b3a5a932e46178e4_nuc_18,train
9869ba7f848826eb843d65a7267e0bbe,Cc1nn(-c2ccccc2)c2nc(CNc3ccc(O)cc3)n(CC#N)c(=O)c12,15,Cc1nn(-c2ccccc2)c2nc(CNC3(C)C=CC(O)=C[CH+]3)n(CC#N)c(=O)c12,double_bond,318.24994261423126,"[[None, '9869ba7f848826eb843d65a7267e0bbe/reac01/conf06/gfn1/9869ba7f848826eb843d65a7267e0bbe_reac01_conf06_gfn1_opt.sdf'], [None, '9869ba7f848826eb843d65a7267e0bbe/reac01prodN14/conf13/gfn1/9869ba7f848826eb843d65a7267e0bbe_reac01prodN14_conf13_gfn1_opt.sdf']]",9869ba7f848826eb843d65a7267e0bbe_nuc_15,train
988501c9b93a37bd22156abaa48511db,CCNC(c1cc(Cl)cc(Cl)c1)C(NCC)c1cc(Cl)cc(Cl)c1,7,CCNC(c1cc(Cl)cc(Cl)c1)C(NCC)c1cc(Cl)cc([Cl+]C)c1,atom_with_lone_pair,205.87260867469013,"[[None, '988501c9b93a37bd22156abaa48511db/reac01/conf03/gfn1/988501c9b93a37bd22156abaa48511db_reac01_conf03_gfn1_opt.sdf'], [None, '988501c9b93a37bd22156abaa48511db/reac01prodN06/conf05/gfn1/988501c9b93a37bd22156abaa48511db_reac01prodN06_conf05_gfn1_opt.sdf']]",988501c9b93a37bd22156abaa48511db_nuc_7,train
988c04b38fc6dced67c425ab3331f1ca,OCc1nnn2c1CCC2,4,C[n+]1nc(CO)c2n1CCC2,Pyridine_like_nitrogen,427.6564058421645,"[[None, '988c04b38fc6dced67c425ab3331f1ca/reac01/conf09/gfn1/988c04b38fc6dced67c425ab3331f1ca_reac01_conf09_gfn1_opt.sdf'], [None, '988c04b38fc6dced67c425ab3331f1ca/reac01prodN03/conf03/gfn1/988c04b38fc6dced67c425ab3331f1ca_reac01prodN03_conf03_gfn1_opt.sdf']]",988c04b38fc6dced67c425ab3331f1ca_nuc_4,val
988f1bb90510c0548aa50d13aa3cec57,CC1CCCC(C)N1C(=O)COC(=O)c1ccccc1O,7,CC1CCCC(C)[N+]1(C)C(=O)COC(=O)c1ccccc1O,atom_with_lone_pair,338.6578809446655,"[[None, '988f1bb90510c0548aa50d13aa3cec57/reac01/conf06/gfn1/988f1bb90510c0548aa50d13aa3cec57_reac01_conf06_gfn1_opt.sdf'], [None, '988f1bb90510c0548aa50d13aa3cec57/reac01prodN11/conf13/gfn1/988f1bb90510c0548aa50d13aa3cec57_reac01prodN11_conf13_gfn1_opt.sdf']]",988f1bb90510c0548aa50d13aa3cec57_nuc_7,train
98aa73662ed4e53838f2f512bb4195ca,O=C1CCCC(=O)C1=NNc1ccc(Cl)c(Cl)c1,16,C[Cl+]c1cc(NN=C2C(=O)CCCC2=O)ccc1Cl,atom_with_lone_pair,189.87528130970887,"[[None, '98aa73662ed4e53838f2f512bb4195ca/reac01/conf14/gfn1/98aa73662ed4e53838f2f512bb4195ca_reac01_conf14_gfn1_opt.sdf'], [None, '98aa73662ed4e53838f2f512bb4195ca/reac01prodN13/conf15/gfn1/98aa73662ed4e53838f2f512bb4195ca_reac01prodN13_conf15_gfn1_opt.sdf']]",98aa73662ed4e53838f2f512bb4195ca_nuc_16,train
98c74c7420e395a964a408256aef192c,COc1ccc(C2COc3cccc4c3N2CCC4)cc1,8,COc1ccc(C2C[O+](C)c3cccc4c3N2CCC4)cc1,Ether,296.5389152169228,"[[None, '98c74c7420e395a964a408256aef192c/reac01/conf14/gfn1/98c74c7420e395a964a408256aef192c_reac01_conf14_gfn1_opt.sdf'], [None, '98c74c7420e395a964a408256aef192c/reac01prodN02/conf16/gfn1/98c74c7420e395a964a408256aef192c_reac01prodN02_conf16_gfn1_opt.sdf']]",98c74c7420e395a964a408256aef192c_nuc_8,train
98cac677d41ed4211817816e32d56390,COc1ccc(-c2nc3nc(C)cc(Nc4cccc(C(F)(F)F)c4)n3n2)cc1,19,COc1ccc(-c2nc3nc(C)cc(NC4=CC=CC(C)(C(F)(F)F)[CH+]4)n3n2)cc1,double_bond,246.46919579058888,"[[None, '98cac677d41ed4211817816e32d56390/reac01/conf08/gfn1/98cac677d41ed4211817816e32d56390_reac01_conf08_gfn1_opt.sdf'], [None, '98cac677d41ed4211817816e32d56390/reac01prodN20/conf20/gfn1/98cac677d41ed4211817816e32d56390_reac01prodN20_conf20_gfn1_opt.sdf']]",98cac677d41ed4211817816e32d56390_nuc_19,train
98d808186755c1ffa24a775c74a11e4a,COc1ccc(P(=S)(S)Oc2ccc(F)cc2F)cc1,9,COc1ccc(P(=S)(S)[O+](C)c2ccc(F)cc2F)cc1,atom_with_lone_pair,277.77082526125014,"[[None, '98d808186755c1ffa24a775c74a11e4a/reac01/conf03/gfn1/98d808186755c1ffa24a775c74a11e4a_reac01_conf03_gfn1_opt.sdf'], [None, '98d808186755c1ffa24a775c74a11e4a/reac01prodN15/conf18/gfn1/98d808186755c1ffa24a775c74a11e4a_reac01prodN15_conf18_gfn1_opt.sdf']]",98d808186755c1ffa24a775c74a11e4a_nuc_9,train
98dd44f30b4a7448020c07240e4db8d8,COC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,9,COC(=O)C1=C(C)N[C+]2C1=C1CN3CCc4cc(OC)ccc4C3OC1=CC2C,double_bond,356.00276423059404,"[[None, '98dd44f30b4a7448020c07240e4db8d8/reac01/conf11/gfn1/98dd44f30b4a7448020c07240e4db8d8_reac01_conf11_gfn1_opt.sdf'], [None, '98dd44f30b4a7448020c07240e4db8d8/reac01prodN09/conf07/gfn1/98dd44f30b4a7448020c07240e4db8d8_reac01prodN09_conf07_gfn1_opt.sdf']]",98dd44f30b4a7448020c07240e4db8d8_nuc_9,val
98e22c3809b1985d4edf83596e53a9f2,CN(C)CCCOc1ccc2c(c1)Sc1ccccc1CC2=O,15,CC1C=CC=C2CC(=O)c3ccc(OCCCN(C)C)cc3S[C+]21,double_bond,300.7625300125219,"[[None, '98e22c3809b1985d4edf83596e53a9f2/reac01/conf13/gfn1/98e22c3809b1985d4edf83596e53a9f2_reac01_conf13_gfn1_opt.sdf'], [None, '98e22c3809b1985d4edf83596e53a9f2/reac01prodN11/conf09/gfn1/98e22c3809b1985d4edf83596e53a9f2_reac01prodN11_conf09_gfn1_opt.sdf']]",98e22c3809b1985d4edf83596e53a9f2_nuc_15,train
98fa0a1d6f4182346bfbc5a5f14c8b38,CC1(C)COc2ccc(NS(=O)(=O)c3cccc4ccccc34)cc2NC1=O,9,C[NH+](c1ccc2c(c1)NC(=O)C(C)(C)CO2)S(=O)(=O)c1cccc2ccccc12,Amine,381.26182437874377,"[[None, '98fa0a1d6f4182346bfbc5a5f14c8b38/reac01/conf11/gfn1/98fa0a1d6f4182346bfbc5a5f14c8b38_reac01_conf11_gfn1_opt.sdf'], [None, '98fa0a1d6f4182346bfbc5a5f14c8b38/reac01prodN02/conf05/gfn1/98fa0a1d6f4182346bfbc5a5f14c8b38_reac01prodN02_conf05_gfn1_opt.sdf']]",98fa0a1d6f4182346bfbc5a5f14c8b38_nuc_9,test
98ff04d93520ea498a90c885cad0407c,Fc1ccccc1Cn1nnc2c(NC3CC3)nccc21,1,CC1(F)[CH+]C=CC=C1Cn1nnc2c(NC3CC3)nccc21,double_bond,251.82958307908848,"[[None, '98ff04d93520ea498a90c885cad0407c/reac01/conf03/gfn1/98ff04d93520ea498a90c885cad0407c_reac01_conf03_gfn1_opt.sdf'], [None, '98ff04d93520ea498a90c885cad0407c/reac01prodN06/conf03/gfn1/98ff04d93520ea498a90c885cad0407c_reac01prodN06_conf03_gfn1_opt.sdf']]",98ff04d93520ea498a90c885cad0407c_nuc_1,train
990ce7f82b8a11e8fac11505ee0c1fc0,CCc1ccc(OC(=O)CN2C(=O)c3ccccc3C2=O)cc1,6,CCc1ccc([O+](C)C(=O)CN2C(=O)c3ccccc3C2=O)cc1,atom_with_lone_pair,233.6452857661061,"[[None, '990ce7f82b8a11e8fac11505ee0c1fc0/reac01/conf01/gfn1/990ce7f82b8a11e8fac11505ee0c1fc0_reac01_conf01_gfn1_opt.sdf'], [None, '990ce7f82b8a11e8fac11505ee0c1fc0/reac01prodN11/conf12/gfn1/990ce7f82b8a11e8fac11505ee0c1fc0_reac01prodN11_conf12_gfn1_opt.sdf']]",990ce7f82b8a11e8fac11505ee0c1fc0_nuc_6,train
