name,success,total_energy_kjmol,heat_of_formation_kcalmol,charge,method,solvent_model,dielectric_constant,source_out,n_atoms,sdf_path,elec_sites,MAA Values [kJ/mol],split
00d7a6e64105b2a03ca77b860042613b,True,-756.02128,-180.69342,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00d7a6e64105b2a03ca77b860042613b_elec_20.out,57,./mopac_optimized/mopac_opt/parsed_sdf/00d7a6e64105b2a03ca77b860042613b_elec_20.sdf,20,131.16168000000005,train
00e5ef222712e93368b7ed4c91dae6f0,True,-178.17564,-42.585,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00e5ef222712e93368b7ed4c91dae6f0_elec_25.out,53,./mopac_optimized/mopac_opt/parsed_sdf/00e5ef222712e93368b7ed4c91dae6f0_elec_25.sdf,25,166.30467,train
00f8989d06467c5ad02aca74a67ffc82,True,-700.09207,-167.32602,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/00f8989d06467c5ad02aca74a67ffc82_elec_5.out,49,./mopac_optimized/mopac_opt/parsed_sdf/00f8989d06467c5ad02aca74a67ffc82_elec_5.sdf,5,215.19653000000005,train
0110aba39309c01c4223ddbaab685127,True,-918.37442,-219.49675,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0110aba39309c01c4223ddbaab685127_elec_21.out,47,./mopac_optimized/mopac_opt/parsed_sdf/0110aba39309c01c4223ddbaab685127_elec_21.sdf,21,173.12181999999996,train
0114b273674f9703a00d9e7235d95085,True,-967.12514,-231.14846,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0114b273674f9703a00d9e7235d95085_elec_16.out,49,./mopac_optimized/mopac_opt/parsed_sdf/0114b273674f9703a00d9e7235d95085_elec_16.sdf,16,201.90151000000003,val
0116016199e42db93795ef4a87cfeff6,True,-554.58418,-132.5488,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0116016199e42db93795ef4a87cfeff6_elec_6.out,51,./mopac_optimized/mopac_opt/parsed_sdf/0116016199e42db93795ef4a87cfeff6_elec_6.sdf,6,104.72825999999992,train
0119069efb4ef44611e58ddaa56aa2ff,True,161.65073,38.63545,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0119069efb4ef44611e58ddaa56aa2ff_elec_5.out,50,./mopac_optimized/mopac_opt/parsed_sdf/0119069efb4ef44611e58ddaa56aa2ff_elec_5.sdf,5,113.51664999999996,train
012cab5e92272d5d87aec0113ba60083,True,-688.14099,-164.46964,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/012cab5e92272d5d87aec0113ba60083_elec_17.out,39,./mopac_optimized/mopac_opt/parsed_sdf/012cab5e92272d5d87aec0113ba60083_elec_17.sdf,17,197.89699,train
01374e5ce8ec5c6ebbea1a2bc57d5715,True,-670.74604,-160.31215,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01374e5ce8ec5c6ebbea1a2bc57d5715_elec_4.out,64,./mopac_optimized/mopac_opt/parsed_sdf/01374e5ce8ec5c6ebbea1a2bc57d5715_elec_4.sdf,4,106.20776999999998,train
01438f2f4660e827cca9e177c3482037,True,-215.85339,-51.5902,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01438f2f4660e827cca9e177c3482037_elec_7.out,25,./mopac_optimized/mopac_opt/parsed_sdf/01438f2f4660e827cca9e177c3482037_elec_7.sdf,7,166.3508,train
0143c74df759962ced63fa8c805754f1,True,-100.60981,-24.04632,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0143c74df759962ced63fa8c805754f1_elec_12.out,36,./mopac_optimized/mopac_opt/parsed_sdf/0143c74df759962ced63fa8c805754f1_elec_12.sdf,12,130.59591,train
0149c9fab1ed6877a55b6e874977a492,True,-622.4812,-148.77658,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0149c9fab1ed6877a55b6e874977a492_elec_2.out,39,./mopac_optimized/mopac_opt/parsed_sdf/0149c9fab1ed6877a55b6e874977a492_elec_2.sdf,2,173.37646999999993,test
0157288c0e6c3fd227c6cd26f1de52fb,True,-413.57552,-98.84692,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0157288c0e6c3fd227c6cd26f1de52fb_elec_1.out,47,./mopac_optimized/mopac_opt/parsed_sdf/0157288c0e6c3fd227c6cd26f1de52fb_elec_1.sdf,1,104.28542,val
015ad1a717ca227813e5de39146eb779,True,-454.24407,-108.56694,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/015ad1a717ca227813e5de39146eb779_elec_8.out,42,./mopac_optimized/mopac_opt/parsed_sdf/015ad1a717ca227813e5de39146eb779_elec_8.sdf,8,132.8983,test
015b158437b0bb2965227f5676ebec1e,True,-617.79973,-147.65768,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/015b158437b0bb2965227f5676ebec1e_elec_2.out,43,./mopac_optimized/mopac_opt/parsed_sdf/015b158437b0bb2965227f5676ebec1e_elec_2.sdf,2,262.72950999999995,train
015deaf5d8c2bf665f3f78caa0f5facf,True,-566.65224,-135.43314,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/015deaf5d8c2bf665f3f78caa0f5facf_elec_6.out,62,./mopac_optimized/mopac_opt/parsed_sdf/015deaf5d8c2bf665f3f78caa0f5facf_elec_6.sdf,6,71.03087,train
01779621b8ada6aa291fd8315f3482f4,True,-955.69873,-228.41748,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01779621b8ada6aa291fd8315f3482f4_elec_19.out,47,./mopac_optimized/mopac_opt/parsed_sdf/01779621b8ada6aa291fd8315f3482f4_elec_19.sdf,19,294.3824599999999,train
017bd675bbf545fcae7a2c3ce7991908,True,-197.8373,-47.28425,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/017bd675bbf545fcae7a2c3ce7991908_elec_14.out,37,./mopac_optimized/mopac_opt/parsed_sdf/017bd675bbf545fcae7a2c3ce7991908_elec_14.sdf,14,66.41229999999999,train
017d7b03bd12f6a2c7d2d90c1ad0302a,True,-663.65995,-158.61854,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/017d7b03bd12f6a2c7d2d90c1ad0302a_elec_13.out,43,./mopac_optimized/mopac_opt/parsed_sdf/017d7b03bd12f6a2c7d2d90c1ad0302a_elec_13.sdf,13,136.27409999999998,train
0192d6e1bd5cb3f9d211c3b5595d1a81,True,-986.62389,-235.80877,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0192d6e1bd5cb3f9d211c3b5595d1a81_elec_11.out,65,./mopac_optimized/mopac_opt/parsed_sdf/0192d6e1bd5cb3f9d211c3b5595d1a81_elec_11.sdf,11,170.38027999999997,train
0198323259953437c2b2a09b7bfcffc5,True,-1210.39528,-289.29141,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0198323259953437c2b2a09b7bfcffc5_elec_22.out,40,./mopac_optimized/mopac_opt/parsed_sdf/0198323259953437c2b2a09b7bfcffc5_elec_22.sdf,22,161.73271999999997,train
019c6bbc35d774191a9ecb806ad0b0c8,True,-470.74981,-112.5119,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/019c6bbc35d774191a9ecb806ad0b0c8_elec_20.out,50,./mopac_optimized/mopac_opt/parsed_sdf/019c6bbc35d774191a9ecb806ad0b0c8_elec_20.sdf,20,202.52964000000003,test
01a07002870fc7f7989c4d58711498a8,True,-289.58046,-69.21139,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01a07002870fc7f7989c4d58711498a8_elec_1.out,44,./mopac_optimized/mopac_opt/parsed_sdf/01a07002870fc7f7989c4d58711498a8_elec_1.sdf,1,172.11636,train
01ac8af0fd8c3352f4061d56489598e9,True,-278.81824,-66.63916,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01ac8af0fd8c3352f4061d56489598e9_elec_10.out,42,./mopac_optimized/mopac_opt/parsed_sdf/01ac8af0fd8c3352f4061d56489598e9_elec_10.sdf,10,167.61991,train
01cf3b9265192bc971275cfb593628ac,True,-560.06379,-133.85846,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01cf3b9265192bc971275cfb593628ac_elec_9.out,43,./mopac_optimized/mopac_opt/parsed_sdf/01cf3b9265192bc971275cfb593628ac_elec_9.sdf,9,83.76919000000004,test
01d4eef3e7ae75b7ae39d4280943f606,True,-884.74508,-211.45915,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01d4eef3e7ae75b7ae39d4280943f606_elec_6.out,50,./mopac_optimized/mopac_opt/parsed_sdf/01d4eef3e7ae75b7ae39d4280943f606_elec_6.sdf,6,150.15159000000006,train
01d5e7cfd2d3a72aa5c1a5ec6bc9ce6e,True,-767.39101,-183.41085,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01d5e7cfd2d3a72aa5c1a5ec6bc9ce6e_elec_11.out,40,./mopac_optimized/mopac_opt/parsed_sdf/01d5e7cfd2d3a72aa5c1a5ec6bc9ce6e_elec_11.sdf,11,160.73709000000008,test
01df1f0a6e8609429c3d62d7e21f92d4,True,25.09497,5.99784,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01df1f0a6e8609429c3d62d7e21f92d4_elec_22.out,47,./mopac_optimized/mopac_opt/parsed_sdf/01df1f0a6e8609429c3d62d7e21f92d4_elec_22.sdf,22,86.40536999999999,train
01fab0f73d74e36c00579eda8e75cf14,True,-473.38381,-113.14145,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/01fab0f73d74e36c00579eda8e75cf14_elec_23.out,54,./mopac_optimized/mopac_opt/parsed_sdf/01fab0f73d74e36c00579eda8e75cf14_elec_23.sdf,23,162.41517,train
02081f15029241a5d70c4b8a1ad3b009,True,-679.2794,-162.35167,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02081f15029241a5d70c4b8a1ad3b009_elec_6.out,33,./mopac_optimized/mopac_opt/parsed_sdf/02081f15029241a5d70c4b8a1ad3b009_elec_6.sdf,6,256.62227,train
0209f30518e9b2db17338ecf82fb2108,True,-277.40274,-66.30085,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0209f30518e9b2db17338ecf82fb2108_elec_25.out,53,./mopac_optimized/mopac_opt/parsed_sdf/0209f30518e9b2db17338ecf82fb2108_elec_25.sdf,25,211.20964,train
02129a3fdbd59cd3e46443bef2b9535d,True,-592.70031,-141.65877,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02129a3fdbd59cd3e46443bef2b9535d_elec_3.out,63,./mopac_optimized/mopac_opt/parsed_sdf/02129a3fdbd59cd3e46443bef2b9535d_elec_3.sdf,3,90.22711999999996,test
0219c20cf9e5b8e15ebe2928004170e5,True,102.45404,24.4871,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0219c20cf9e5b8e15ebe2928004170e5_elec_10.out,56,./mopac_optimized/mopac_opt/parsed_sdf/0219c20cf9e5b8e15ebe2928004170e5_elec_10.sdf,10,141.85586999999998,train
022a62ff922e96519cf894bf050a093d,True,-1161.57395,-277.62284,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/022a62ff922e96519cf894bf050a093d_elec_14.out,59,./mopac_optimized/mopac_opt/parsed_sdf/022a62ff922e96519cf894bf050a093d_elec_14.sdf,14,148.32087,val
022f67a5bd6035ebd2b69e66e30e1390,True,41.02473,9.80515,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/022f67a5bd6035ebd2b69e66e30e1390_elec_9.out,31,./mopac_optimized/mopac_opt/parsed_sdf/022f67a5bd6035ebd2b69e66e30e1390_elec_9.sdf,9,160.23769,train
0231edde125e198a39941895033101d6,True,-956.07487,-228.50738,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0231edde125e198a39941895033101d6_elec_15.out,70,./mopac_optimized/mopac_opt/parsed_sdf/0231edde125e198a39941895033101d6_elec_15.sdf,15,-38.34661999999992,train
023fc60ce3f145cc173f0c87f25a1169,True,-1178.49703,-281.66755,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/023fc60ce3f145cc173f0c87f25a1169_elec_10.out,25,./mopac_optimized/mopac_opt/parsed_sdf/023fc60ce3f145cc173f0c87f25a1169_elec_10.sdf,10,247.23207,train
025b095cd3bde27655eacb1420533bca,True,-642.2651,-153.50504,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/025b095cd3bde27655eacb1420533bca_elec_21.out,55,./mopac_optimized/mopac_opt/parsed_sdf/025b095cd3bde27655eacb1420533bca_elec_21.sdf,21,193.05024999999995,train
