name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,elec_sites,MAA Values [kJ/mol]
232c05f50190f31cf86c630b8fd753e1,True,-2419511.047414299,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,43.29084159154445
e1486a04266ab88fcb9695f160a5f03a,True,-5692756.163881255,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,147.93629753869027
9415ade6284b5e0c2514a37947d92a1e,True,-3639890.139298412,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,5,129.51185465138406
bef10704fc64e5f05495694e044c2c7f,True,-10901481.908932948,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,10.027813179418445
78ca80f081461f70fccf1217fddc7c01,True,-4453483.190707167,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,1,95.56900302320719
1c46296573678086b90922bf3e4864e0,True,-3361168.35915419,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,1,83.18609708361328
4436816a524b73f42deba9d38253cc7c,True,-2994446.961809792,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,146.80898680957034
c731262be35ca4b5450dade5a0d39bdc,True,-2604980.3751239143,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,7,168.0720620173961
7a0489d37bebee9725bfff7294652b95,True,-2456425.1495955107,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,1,167.09016982885078
c9902be481f7f0a61b91314bf2ec8bce,True,-9999827.454890134,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,170.25761183723807
0a20673a67cfb61b6c8e07e49a42fc90,True,-3111605.9455279107,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,7,58.87856614636257
4e3334c12461d825bbfcdbb862ebfa92,True,-3655108.8009827626,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,12,60.78759310254827
d3d836a3ba02f6d4fd28ce6696fb6f01,True,-3135599.000959406,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,7,92.73543266532943
f9bce8532ea2c0b9d5d242466707dc51,True,-3108350.5427259165,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,60.598320841323584
aa1f176ce81514d5df7c9246d6f00e3b,True,-3022690.933715881,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,4,54.207776243798435
8d59fbb905934b1db342906ea89b272e,True,-3040291.75611645,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,12,66.17488182336092
c3ea71d3cca50df61e4ee305c30fc59e,True,-3222159.4435872096,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,14,39.57003880525008
df5a02eb3cd4040c1ac354db9beea465,True,-4224386.155328172,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,-156.76822850387543
4f43224f2f3e9271cfc893363f97bac1,True,-3121966.7053104443,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,12,41.17311630304903
